Date,Open,High,Low,Close,Adj Close,Volume,cumret
1995-05-04,52.34375,52.6875,52.125,52.25,31.73407554626465,311400,1.0
1995-05-05,52.46875,52.46875,52.078125,52.1875,31.69611167907715,314900,0.9988036876280781
1995-05-08,52.140625,52.734375,52.09375,52.5625,31.923866271972656,183100,1.0059806602978338
1995-05-09,52.78125,52.84375,52.4375,52.515625,31.895397186279297,180600,1.0050835462271293
1995-05-10,52.65625,52.671875,52.328125,52.578125,31.933372497558594,330300,1.0062802192237614
1995-05-11,52.65625,52.71875,52.484375,52.71875,32.018775939941406,351700,1.0089714412276387
1995-05-12,52.515625,52.875,52.5,52.75,32.03774642944336,94600,1.0095692367888893
1995-05-15,52.890625,53.0,52.78125,53.0,32.18960189819336,147200,1.014354486276577
1995-05-16,52.984375,53.15625,52.890625,53.03125,32.20855712890625,221600,1.0149518010048808
1995-05-17,53.03125,53.046875,52.78125,52.828125,32.085201263427734,189200,1.0110646272537918
1995-05-18,52.734375,52.765625,52.0625,52.0625,31.620210647583008,577800,0.9964119043418914
1995-05-19,51.984375,52.1875,51.90625,52.09375,31.639177322387695,363900,0.9970095796949054
1995-05-22,52.265625,52.75,52.234375,52.671875,31.990312576293945,216000,1.008074507469289
1995-05-23,52.765625,53.15625,52.609375,53.15625,32.28447341918945,136800,1.0173440651240144
1995-05-24,53.25,53.421875,52.796875,53.125,32.26549530029297,370800,1.0167460291462902
1995-05-25,52.96875,53.21875,52.71875,53.171875,32.293975830078125,379900,1.0176435038417049
1995-05-26,52.96875,52.984375,52.359375,52.5625,31.923866271972656,518600,1.0059806602978338
1995-05-30,52.6875,52.828125,52.375,52.546875,31.91438865661621,61500,1.005682002933682
1995-05-31,52.453125,53.640625,52.453125,53.640625,32.57865905761719,564500,1.0266144041322784
1995-06-01,53.40625,53.90625,53.25,53.5,32.493263244628906,810100,1.0239234225448746
1995-06-02,53.28125,53.921875,53.09375,53.546875,32.521732330322266,112900,1.0248205366155791
1995-06-05,53.546875,54.046875,53.5,53.875,32.721031188964844,257200,1.031100815943459
1995-06-06,53.828125,54.015625,53.78125,53.78125,32.66408920288086,165800,1.0293064675938128
1995-06-07,53.671875,53.703125,53.4375,53.5,32.493263244628906,41900,1.0239234225448746
